job_key,source,url,title,title_clean,company,seniority,location_primary,work_arrangement,salary_raw,salary_min_vnd,salary_max_vnd,salary_mid_vnd,salary_currency,salary_disclosed,n_skills,posted_raw,first_seen_at,last_seen_at,skills,locations
careerlink:3612435,careerlink,https://www.careerlink.vn/tim-viec-lam/chuyen-vien-thiet-ke-co-khi-ket-cau-mep-thiet-bi-dien-dieu-khien-gia-lai/3612435,"Chuyên Viên Thiết Kế (Cơ Khí, Kết Cấu, MEP, Thiết Bị, Điện Điều Khiển) - Gia Lai",Chuyên Viên Thiết Kế - Gia Lai,CÔNG TY CỔ PHẦN NÔNG NGHIỆP TRƯỜNG HẢI,Không rõ,Gia Lai,,Thương lượng,,,,,False,0,2026-09-07T15:12:46+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Gia Lai
careerlink:3607461,careerlink,https://www.careerlink.vn/tim-viec-lam/nhan-vien-business-analyst-kcn-giao-long-ben-tre/3607461,Nhân Viên Business Analyst (KCN Giao Long - Bến Tre),Nhân Viên Business Analyst,Công ty TNHH May Mặc Alliance One,Nhân viên,Nghệ An,,Thương lượng,,,,,False,0,2026-09-04T12:08:57+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,"Nghệ An, Trà Vinh"
careerlink:3608558,careerlink,https://www.careerlink.vn/tim-viec-lam/nhan-vien-data-database-admin-kcn-giao-long-ben-tre/3608558,Nhân Viên Data & Database Admin (KCN Giao Long - Bến Tre),Nhân Viên Data & Database Admin,Công ty TNHH May Mặc Alliance One,Nhân viên,Nghệ An,,Thương lượng,,,,,False,0,2026-09-04T02:35:16+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,"Nghệ An, Trà Vinh"
careerlink:3613619,careerlink,https://www.careerlink.vn/tim-viec-lam/hn-nhan-vien-business-analyst/3613619,[HN] Nhân Viên Business Analyst,Nhân Viên Business Analyst,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ĐIỆN TỬ BÌNH ANH,Nhân viên,Hà Nội,,15 triệu - 22 triệu,15000000.0,22000000.0,18500000.0,VND,True,0,2026-09-04T06:41:16+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3613620,careerlink,https://www.careerlink.vn/tim-viec-lam/hn-chuyen-vien-business-analyst/3613620,[HN] Chuyên Viên Business Analyst,Chuyên Viên Business Analyst,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ ĐIỆN TỬ BÌNH ANH,Nhân viên,Hà Nội,,15 triệu - 22 triệu,15000000.0,22000000.0,18500000.0,VND,True,0,2026-09-04T06:41:16+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3613551,careerlink,https://www.careerlink.vn/tim-viec-lam/truong-nhom-it/3613551,Trưởng Nhóm IT,Trưởng Nhóm IT,Công Ty Cổ Phần Tập Đoàn Thành Nam,Lead,Hà Nội,,17 triệu - 23 triệu,17000000.0,23000000.0,20000000.0,VND,True,0,2026-09-06T13:17:21+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hà Nội
careerlink:3588042,careerlink,https://www.careerlink.vn/tim-viec-lam/nhan-vien-it-kcn-dong-van-3-ha-nam/3588042,NHÂN VIÊN IT - KCN Đồng Văn 3 - Hà Nam,NHÂN VIÊN IT - KCN Đồng Văn 3 - Hà Nam,CareerLink's Client,Nhân viên,,,Thương lượng,,,,,False,0,2026-09-08T20:53:16+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,
careerlink:3527277,careerlink,https://www.careerlink.vn/tim-viec-lam/c-software-engineer-semiconductor-automation-systems-tieng-nhat-%7C-can-giuoc-long-an/3527277,"C++ Software Engineer (Semiconductor Automation Systems) - Tiếng Nhật | Cần Giuộc, Long An","C++ Software Engineer - Tiếng Nhật | Cần Giuộc, Long An",CareerLink's Client,Nhân viên,Long An,,Thương lượng,,,,,False,0,2026-09-04T06:43:03+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Long An
careerlink:3613612,careerlink,https://www.careerlink.vn/tim-viec-lam/nhan-vien-it/3613612,Nhân Viên IT,Nhân Viên IT,Công Ty TNHH Top Run Việt Nam Hải Phòng,Nhân viên,Hải Phòng,,Thương lượng,,,,,False,0,2026-09-07T05:16:38+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,Hải Phòng
careerlink:3608535,careerlink,https://www.careerlink.vn/tim-viec-lam/chuyen-vien-data-database-admin-kcn-giao-long-ben-tre/3608535,Chuyên Viên Data & Database Admin (KCN Giao Long - Bến Tre),Chuyên Viên Data & Database Admin,Công ty TNHH May Mặc Alliance One,Nhân viên,Nghệ An,,Thương lượng,,,,,False,0,2026-09-04T02:34:48+00:00,2026-09-08T06:38:14+00:00,2026-09-09T07:24:41+00:00,,"Nghệ An, Trà Vinh"
